#,feature,n_categories,most_frequent_category,most_frequent_count
1,gill_color,12,b,1202
2,cap_color,10,n,1567
3,odor,9,n,2439
4,stalk_color_below_ring,9,w,3071
5,spore_print_color,9,w,1655
6,stalk_color_above_ring,9,w,3131
7,habitat,7,d,2195
8,cap_shape,6,x,2534
9,population,6,v,2813
10,ring_type,5,p,2778
11,stalk_surface_below_ring,4,s,3434
12,cap_surface,4,y,2291
13,veil_color,4,w,5542
14,stalk_surface_above_ring,4,s,3630
15,ring_number,3,o,5246
16,bruises,2,f,3330
17,stalk_shape,2,t,3211
18,gill_attachment,2,f,5534
19,gill_spacing,2,c,4766
20,gill_size,2,b,3939
